SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_DT
HEROMOTOCO,EQ,3629.05,18-Feb-21,2670.1,07-Aug-20
HESTERBIO,EQ,3134,18-May-21,1381,31-Aug-20
HEXATRADEX,EQ,175.25,13-Jul-21,22.5,10-Aug-20
HFCL,BE,95.7,06-Jul-21,12.8,05-Aug-20
HGINFRA,EQ,630,04-Aug-21,174.2,05-Nov-20
HGS,BE,3262.85,19-Jul-21,651.05,29-Oct-20
HIKAL,EQ,653.8,05-Aug-21,130,05-Aug-20
HIL,EQ,6758.05,02-Aug-21,1288.05,05-Aug-20
HILTON,EQ,16.25,14-Jan-21,8.1,06-Aug-20
HIMATSEIDE,BE,279,30-Jul-21,68.5,06-Aug-20
HINDALCO,EQ,474,29-Jul-21,154.4,24-Sep-20
HINDCOMPOS,EQ,387.8,13-Jan-21,163.5,05-Aug-20
HINDCON,EQ,81.9,26-Jul-21,41.75,05-Jul-21
HINDCOPPER,EQ,196.75,11-May-21,31.3,15-Oct-20
HINDMOTORS,EQ,10,08-Jan-21,4.65,08-Oct-20
HINDNATGLS,BE,53.2,21-Jun-21,22.5,13-Oct-20
HINDOILEXP,EQ,174.8,03-Aug-21,60.35,02-Nov-20
HINDPETRO,EQ,312,17-Jun-21,162.9,15-Oct-20
HINDUNILVR,EQ,2533.95,22-Jun-21,2000.05,22-Sep-20
HINDZINC,EQ,362.1,19-May-21,197.3,12-Oct-20
HIRECT,EQ,180.15,06-Jan-21,112.5,05-Aug-20
HISARMETAL,EQ,165,23-Jul-21,66,15-Oct-20
HITECH,EQ,760,29-Jul-21,101.1,25-Sep-20
HITECHCORP,EQ,275,27-Jul-21,67.55,05-Aug-20
HITECHGEAR,EQ,365.95,30-Jul-21,95.45,06-Nov-20
HLEGLAS,EQ,3791.95,14-Jun-21,1755,22-Feb-21
HLVLTD,EQ,12.4,08-Jun-21,4.2,30-Oct-20
HMT,BZ,39.95,19-Jul-21,13.8,29-Oct-20
HMVL,EQ,106.7,26-May-21,44.8,16-Oct-20
HNDFDS,BE,2578,24-Feb-21,688,05-Aug-20
HNGSNGBEES,EQ,398,09-Apr-21,269.1,15-Oct-20
HOMEFIRST,EQ,640,03-Feb-21,440,12-Apr-21
HONAUT,EQ,49990,15-Mar-21,27200,05-Aug-20
HONDAPOWER,EQ,1388.3,21-Jun-21,915,26-Apr-21
HOVS,BE,90.7,27-Jul-21,28.1,06-Nov-20
HPL,EQ,91.4,13-Jul-21,24.8,10-Nov-20
HSCL,EQ,63.9,21-Aug-20,37.5,23-Nov-20
HSIL,EQ,287.5,23-Jul-21,55.5,05-Aug-20
HTMEDIA,EQ,35.3,22-Jul-21,11.9,05-Aug-20
HUBTOWN,EQ,45,05-Aug-21,9.5,25-Sep-20
HUDCO,EQ,58.25,22-Jun-21,29.85,22-Sep-20
HUHTAMAKI,EQ,352.15,18-Feb-21,241.75,06-Aug-20
IBMFNIFTY,EQ,174,24-Feb-21,110.33,17-Sep-20
IBREALEST,EQ,174.75,26-Jul-21,46.3,04-Nov-20
IBULHSGFIN,EQ,313.7,16-Jun-21,127.75,25-Sep-20
ICDSLTD,BE,47.15,05-Aug-21,17.25,06-Jul-21
ICEMAKE,EQ,120.2,21-Dec-20,58.05,12-Oct-20
ICICI500,EQ,268.2,30-Jul-21,146.96,06-Aug-20
ICICIALPLV,EQ,185,15-Jul-21,99.9,18-Sep-20
ICICIB22,EQ,41.49,04-Aug-21,23.46,25-Sep-20
ICICIBANK,EQ,717.4,04-Aug-21,333.75,24-Sep-20
ICICIBANKN,EQ,422.2,15-Feb-21,192.1,24-Sep-20
ICICIBANKP,EQ,218,24-Feb-21,110,24-Sep-20
ICICIGI,EQ,1626.45,06-Jan-21,1200,13-Oct-20
ICICIGOLD,EQ,54.1,10-Aug-20,37.05,31-Mar-21
ICICILIQ,EQ,1040,20-May-21,984,03-Sep-20
ICICILOVOL,EQ,137.7,29-Jun-21,86,23-Sep-20
ICICIM150,EQ,118.9,30-Jun-21,60.1,05-Aug-20
ICICIMCAP,EQ,109,08-Jul-21,58.7,15-Sep-20
ICICINF100,EQ,197.3,19-Jul-21,101,07-Oct-20
ICICINIFTY,EQ,198.2,04-Aug-21,102.7,24-Sep-20
ICICINV20,EQ,99.4,05-Aug-21,47.15,24-Sep-20
ICICINXT50,EQ,45.9,22-Jul-21,25.7,25-Sep-20
ICICIPHARM,EQ,94,01-Jul-21,82.05,02-Jun-21
ICICIPRULI,EQ,684.7,04-Aug-21,397.55,25-Sep-20
ICICISENSX,EQ,609.4,22-Jun-21,381.9,04-Sep-20
ICICITECH,EQ,330,26-Jul-21,158.95,29-Sep-20
ICIL,EQ,285,03-Aug-21,62.8,14-Aug-20
ICRA,EQ,4150,29-Jul-21,2530,13-Nov-20
IDBI,EQ,45.2,24-Aug-20,26.35,25-Jan-21
IDBIGOLD,EQ,5488,10-Aug-20,4035.95,30-Dec-20
IDEA,EQ,13.8,15-Jan-21,4.55,05-Aug-21
IDFC,EQ,62.9,22-Jul-21,19.2,05-Aug-20
IDFCFIRSTB,EQ,69.3,04-Mar-21,26.7,05-Aug-20
IDFNIFTYET,EQ,178,05-Jul-21,112.86,05-Aug-20
IEX,EQ,454.6,23-Jul-21,177.75,05-Aug-20
IFBAGRO,EQ,673.9,21-Jun-21,273.2,06-Aug-20
IFBIND,EQ,1502.9,10-Feb-21,363.4,07-Aug-20
IFCI,EQ,16.4,24-Jun-21,5.65,16-Oct-20
IFGLEXPOR,EQ,434.9,12-Jul-21,109.95,05-Aug-20
IGARASHI,EQ,587,13-Jul-21,261,24-Sep-20
IGL,EQ,594.85,18-Feb-21,364.1,13-Oct-20
IGPL,EQ,738,04-Aug-21,160.85,05-Aug-20
IIFL,BE,346.3,17-Mar-21,68.1,12-Aug-20
IIFLSEC,EQ,128.5,22-Jul-21,35.85,09-Sep-20
IIFLWAM,EQ,1640.95,04-Aug-21,856.9,29-Oct-20
IITL,EQ,88.25,14-Dec-20,46.8,10-Nov-20
IL&FSENGG,BZ,6.9,26-Jul-21,2.85,31-Mar-21
IL&FSTRANS,BZ,6.95,26-Jul-21,0.95,19-Oct-20
IMAGICAA,EQ,9.45,15-Jun-21,3.65,30-Sep-20
IMFA,BE,997,02-Aug-21,178.45,05-Aug-20
IMPAL,EQ,920,28-Jul-21,508.05,04-Nov-20
INCREDIBLE,BE,44,30-Jun-21,15.1,13-Nov-20
INDBANK,EQ,37.4,16-Jul-21,6.55,05-Aug-20
INDHOTEL,EQ,157.3,07-Jul-21,76.8,05-Aug-20
INDIACEM,EQ,211.4,24-May-21,107.5,09-Sep-20
INDIAGLYCO,EQ,769,13-Jul-21,262.9,24-Sep-20
INDIAMART,EQ,9950,05-Feb-21,2876,12-Aug-20
INDIANB,EQ,157,18-Feb-21,53.1,25-Sep-20
INDIANCARD,BE,234.9,14-Jul-21,88.65,14-Aug-20
INDIANHUME,EQ,252.8,03-Aug-21,153.1,03-Nov-20
INDIGO,EQ,1860,15-Jul-21,928,07-Aug-20
INDIGOPNTS,EQ,3329.95,03-Feb-21,2220.25,19-Mar-21
INDLMETER,EQ,21.75,10-Dec-20,11,13-Apr-21
INDNIPPON,EQ,448.8,19-Feb-21,287.4,05-Aug-20
INDOCO,EQ,494.7,02-Jul-21,213,09-Sep-20
INDORAMA,BE,62.95,19-May-21,14,10-Aug-20
INDOSOLAR,BZ,4.25,01-Jul-21,1,07-Aug-20
INDOSTAR,EQ,423.8,07-Dec-20,237.6,17-Aug-20
INDOTECH,BE,292.55,15-Jul-21,80.2,12-Apr-21
INDOTHAI,EQ,73.4,03-Aug-21,15.05,14-Oct-20
INDOWIND,BE,9,13-Jul-21,2.4,21-Oct-20
INDRAMEDCO,EQ,102.5,09-Jun-21,45.3,22-Sep-20
INDSWFTLAB,EQ,127.45,20-Jul-21,32.55,09-Sep-20
INDSWFTLTD,EQ,8.7,05-Aug-21,2.35,07-Aug-20
INDTERRAIN,EQ,52.5,11-Jan-21,26.55,06-May-21
INDUSINDBK,EQ,1119.5,25-Feb-21,485,24-Sep-20
INDUSTOWER,EQ,282.65,25-Feb-21,162.2,24-Sep-20
INEOSSTYRO,EQ,1570,06-Jul-21,484,09-Sep-20
INFIBEAM,EQ,113.7,12-Mar-21,36.7,06-May-21
INFOBEAN,BE,513.8,19-Jul-21,107.8,17-Aug-20
INFRABEES,EQ,501.2,24-May-21,306.13,25-Sep-20
INFY,EQ,1679.9,04-Aug-21,912.1,01-Sep-20
INGERRAND,EQ,1074.9,20-Jul-21,555,16-Oct-20
INOXLEISUR,EQ,359,11-Jan-21,229.1,11-Aug-20
INOXWIND,EQ,142.7,29-Jul-21,34.65,04-Nov-20
INSECTICID,EQ,847,04-Aug-21,393,10-Nov-20
INSPIRISYS,BE,71.85,16-Jul-21,25.6,29-Oct-20
INTELLECT,EQ,892,26-Jul-21,159.9,05-Aug-20
INTENTECH,EQ,120.25,30-Jul-21,27.95,24-Sep-20
INVENTURE,EQ,4.7,24-Jun-21,1.42,25-Jan-21
IOB,EQ,29,30-Jun-21,8.5,16-Oct-20
IOC,EQ,117.85,09-Jun-21,71.65,24-Sep-20
IOLCP,EQ,898.9,25-Aug-20,522,23-Feb-21
IPCALAB,EQ,2460,28-Oct-20,1785.4,23-Feb-21
IPL,EQ,368,05-Jul-21,323.25,05-Aug-21
IRB,EQ,189.75,16-Jul-21,97.4,22-Dec-20
IRCON,EQ,54.25,11-Feb-21,36.38,15-Oct-20
IRCTC,EQ,2535,04-Aug-21,1290.05,04-Nov-20
IRFC,EQ,26.7,01-Mar-21,20.8,13-Apr-21
IRISDOREME,BE,197.5,03-Aug-21,62.35,22-Feb-21
ISEC,EQ,802.7,16-Jul-21,376.9,31-Mar-21
ISFT,EQ,124,20-Jul-21,57.6,17-Aug-20
ISGEC,EQ,878.35,05-Jul-21,524.15,24-May-21
ISMTLTD,BE,32.45,06-Jul-21,4.2,05-Aug-20
ITC,EQ,239.2,09-Feb-21,163.35,30-Oct-20
ITDC,EQ,464.5,17-Jun-21,215.45,10-Sep-20
ITDCEM,EQ,97.45,14-Jul-21,41.85,10-Aug-20
ITI,EQ,151.65,19-Aug-20,102,19-Apr-21
IVC,EQ,9.5,03-Aug-21,3.65,23-Nov-20
IVP,EQ,165.4,10-Jun-21,40.85,22-Sep-20
IVZINGOLD,EQ,5499.95,05-Aug-20,3610,24-Feb-21
IVZINNIFTY,EQ,1995,30-Jun-21,1161.05,24-Sep-20
IWEL,BE,954.9,04-Aug-21,189.6,11-Jun-21
IZMO,EQ,149.2,02-Aug-21,22.25,05-Aug-20
J&KBANK,EQ,44.3,22-Jun-21,14.05,30-Oct-20
JAGRAN,EQ,71.5,14-Jul-21,35.5,21-Oct-20
JAGSNPHARM,EQ,203.9,02-Aug-21,33.05,09-Sep-20
JAIBALAJI,EQ,71.05,02-Aug-21,13.75,29-Oct-20
JAICORPLTD,EQ,172.95,19-Jul-21,78.05,24-Sep-20
JAINSTUDIO,BZ,4.3,05-Aug-20,1.35,01-Dec-20
JAMNAAUTO,EQ,91,03-Aug-21,28.45,05-Aug-20
JASH,EQ,628,29-Jun-21,138.05,07-Aug-20
JAYAGROGN,EQ,323.8,04-Aug-21,85.6,07-Aug-20
JAYBARMARU,EQ,268.95,08-Jun-21,89.95,05-Aug-20
JAYNECOIND,BE,27.15,08-Jul-21,2.65,20-Oct-20
JAYSREETEA,EQ,144.95,28-Jul-21,55.1,24-Sep-20
JBCHEPHARM,EQ,1937.7,05-Jul-21,728.1,05-Aug-20
JBFIND,BE,50.3,06-Jul-21,6.8,24-Nov-20
JBMA,EQ,535.75,19-Jul-21,205.05,24-Sep-20
JCHAC,EQ,2940,03-Mar-21,1980.05,11-Aug-20
JETAIRWAYS,BZ,169.9,11-Jan-21,23.65,25-Sep-20
JHS,EQ,34.35,08-Feb-21,12.55,10-Aug-20
JINDALPHOT,EQ,90.4,05-Apr-21,11.4,03-Nov-20
JINDALPOLY,EQ,1131,05-Aug-21,407.5,05-Aug-20
JINDALSAW,EQ,147.6,29-Jul-21,55.3,05-Aug-20
JINDALSTEL,EQ,501.7,10-May-21,159.6,22-Sep-20
JINDRILL,EQ,147.9,03-Aug-21,60.1,06-Aug-20
JINDWORLD,EQ,90.6,12-Jul-21,43.15,07-Aug-20
JISLDVREQS,EQ,23.25,19-Jul-21,9,11-Nov-20
